method,prompt0,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,mean
clean,0.885857343673706,0.8517996668815613,0.3649890124797821,0.7640795111656189,0.8217337727546692,0.9696703553199768,0.7348111271858215,0.5965001583099365,0.9721243381500244,0.680550217628479,0.6308779716491699,0.7520903159271587
/root/cv/cv_facelock/output/protected_edited/eps0,0.8565093278884888,0.824495792388916,0.3942403793334961,0.7503324747085571,0.8248372673988342,0.9790174961090088,0.7308703064918518,0.7843719720840454,0.9410431385040283,0.6691054105758667,0.660216212272644,0.7650036161596124
