method,prompt0,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,mean
clean,0.9668883085250854,0.9248538017272949,0.18126258254051208,0.9146558046340942,0.7995507717132568,0.9701485633850098,0.8705592751502991,0.8829635381698608,0.9750175476074219,0.7306714057922363,0.8860504627227783,0.8275110965425317
/root/cv/cv_facelock/output/protected_edited/eps0,0.9401787519454956,0.9067560434341431,0.20355212688446045,0.8953909277915955,0.8047287464141846,0.9477092027664185,0.8667855858802795,0.9466745853424072,0.9426152110099792,0.7543699741363525,0.8933148384094238,0.82746145400134
