method,prompt0,prompt1,prompt2,prompt3,prompt4,prompt5,prompt6,prompt7,prompt8,prompt9,prompt10,prompt11,prompt12,prompt13,prompt14,prompt15,prompt16,prompt17,prompt18,prompt19,prompt20,prompt21,prompt22,prompt23,prompt24,mean
clean,0.14782783389091492,0.1555800437927246,0.1786133497953415,0.1989426612854004,0.17636558413505554,0.13627363741397858,0.15589042007923126,0.18151822686195374,0.07269846647977829,0.17203164100646973,0.07172559201717377,0.12423460930585861,0.11399538815021515,0.20662015676498413,0.05712303891777992,0.2166103720664978,0.11637237668037415,0.0942697674036026,0.03269690275192261,0.11135787516832352,0.1339397132396698,0.045927826315164566,0.11156949400901794,0.16867785155773163,0.1587604582309723,0.13358493149280548
/root/cv/cv_facelock/celeba_hq_multi/protected_edited/eps0,0.1285584568977356,0.15114861726760864,0.1178523600101471,0.23725348711013794,0.19199064373970032,0.11648917198181152,0.1313379406929016,0.18134208023548126,0.07457297295331955,0.17084503173828125,0.08321510255336761,0.14953550696372986,0.1310483068227768,0.20758315920829773,0.1253006011247635,0.17343898117542267,0.09796811640262604,0.1397927850484848,0.12855234742164612,0.20647886395454407,0.099302276968956,0.0647021159529686,0.1793488711118698,0.14147129654884338,0.07790175080299377,0.14028123378753662
